,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
39,3900,0.03783311088476357,0.14301963458514635,"[ 0.08594568  0.12116046  0.07904352  0.26907109  0.23998961 -1.22716861
  1.23924137  1.44900772 -0.20758471 -0.23501348  1.96489758 -0.53472989
  0.5979324   1.66937174  0.47605147 -0.73212899 -0.3615767   0.5685272
 -0.35979273 -1.17790069  1.51874462  1.99875167  1.08022225  1.58637187
  0.59582101 -0.23759825  1.18529789  1.09451913  1.11928701  0.92431289]"
40,4000,0.03780246209058854,0.1439361331328381,"[ 0.08369381  0.12072357  0.07711088  0.26765521  0.24090589 -1.22985233
  1.24118105  1.45012323 -0.20732205 -0.23418334  1.96566853 -0.53540988
  0.59468751  1.67216532  0.47652809 -0.72934003 -0.3637381   0.57077255
 -0.36016261 -1.18154146  1.52094065  1.99958707  1.08156439  1.58986432
  0.59444992 -0.23881336  1.18597522  1.09268432  1.11914517  0.92659978]"
41,4100,0.03777405359054134,0.1447781860837034,"[ 0.08158449  0.12035811  0.07530813  0.26633867  0.24176219 -1.23233935
  1.24300158  1.45112788 -0.20708066 -0.23341799  1.96634341 -0.53600892
  0.5916458   1.67476702  0.47695486 -0.72672606 -0.36576358  0.57290697
 -0.36051618 -1.18495999  1.52298807  2.00030243  1.08283847  1.59314592
  0.59318815 -0.23995481  1.18660304  1.09093724  1.11902106  0.92874824]"
42,4200,0.037747709085826406,0.14555253020705555,"[ 0.079608    0.12005496  0.07362585  0.26511404  0.24256242 -1.23464508
  1.24471093  1.45203292 -0.206859   -0.23271236  1.96693278 -0.53653595
  0.58879495  1.67719084  0.47733665 -0.72427604 -0.36766209  0.57493485
 -0.36085373 -1.18816929  1.5248973   2.00091226  1.08404769  1.59622971
  0.59202666 -0.24102744  1.18718499  1.08927508  1.11891284  0.93076689]"
43,4300,0.037723267427913314,0.14626523060161922,"[ 0.07775533  0.11980606  0.07205536  0.26397448  0.24331026 -1.23678365
  1.24631644  1.45284842 -0.20665564 -0.2320618   1.96744611 -0.53699897
  0.5861233   1.67944968  0.47767788 -0.72197963 -0.36944191  0.5768605
 -0.36117559 -1.1911817   1.526678    2.00142946  1.08519512  1.59912789
  0.59095715 -0.24203574  1.18772443  1.08769491  1.11881885  0.93266374]"
44,4400,0.03770058117625111,0.1469217538625572,"[ 0.07601818  0.11960432  0.07058869  0.26291372  0.24400915 -1.23876795
  1.24782491  1.45358341 -0.20646919 -0.23146197  1.96789184 -0.53740513
  0.58361984  1.68155543  0.47798255 -0.71982712 -0.37111076  0.57868816
 -0.36148217 -1.19400889  1.5283391   2.00186544  1.08628369  1.60185189
  0.58997203 -0.24298383  1.18822449  1.08619372  1.1187376   0.93444628]"
45,4500,0.03767951531069828,0.14752703249570653,"[ 0.07438884  0.11944349  0.06921845  0.26192597  0.24466232 -1.24060983
  1.2492426   1.45424599 -0.20629835 -0.23090888  1.96827752 -0.5377608
  0.58127421  1.68351905  0.47825429 -0.71780942 -0.37267582  0.580422
 -0.3617739  -1.19666192  1.52988889  2.0022303   1.0873162   1.60441239
  0.58906438 -0.24387556  1.18868804  1.08476847  1.11866769  0.93612149]"
46,4600,0.03765994607961434,0.1480855217510469,"[ 0.07286017  0.11931805  0.06793787  0.26100593  0.24527277 -1.24232014
  1.25057535  1.45484343 -0.2061419  -0.23039886  1.9686099  -0.53807169
  0.57907662  1.68535068  0.47849638 -0.71591801 -0.37414375  0.58206608
 -0.36205127 -1.19915124  1.53133508  2.00253302  1.08829536  1.60681942
  0.58822784 -0.24471448  1.18911776  1.08341612  1.11860791  0.9376959 ]"
47,4700,0.037641759967287226,0.14860124986818074,"[ 0.07142557  0.11922314  0.06674067  0.26014869  0.24584333 -1.24390883
  1.25182856  1.45538226 -0.20599868 -0.22992849  1.968895   -0.53834288
  0.57701788  1.68705967  0.4787118  -0.71414489 -0.37552076  0.58362438
 -0.36231478 -1.20148669  1.53268479  2.0027815   1.08922373  1.60908237
  0.5874566  -0.24550387  1.18951612  1.08213364  1.11855712  0.9391756 ]"
48,4800,0.037624852766639044,0.14907786257873645,"[ 0.07007889  0.11915451  0.06562105  0.25934973  0.24637664 -1.24538507
  1.25300724  1.45586833 -0.20586764 -0.22949465  1.96913823 -0.53857891
  0.57508933  1.68865467  0.47890324 -0.71248258 -0.37681265  0.58510076
 -0.36256495 -1.2036776   1.53394466  2.00298277  1.09010378  1.61121004
  0.58674534 -0.24624681  1.18988542  1.08091803  1.11851431  0.94056633]"
49,4900,0.037609128745066785,0.14951866258795565,"[ 0.06881443  0.11910839  0.06457367  0.2586049   0.24687514 -1.24675725
  1.25411607  1.45630689 -0.20574778 -0.22909444  1.96934441 -0.53878382
  0.57328282  1.69014366  0.47907312 -0.71092409 -0.37802482  0.58649899
 -0.3628023  -1.20573274  1.53512083  2.00314301  1.09093787  1.61321066
  0.5860892  -0.24694614  1.19022777  1.07976634  1.11847856  0.94187343]"
50,5000,0.037594499892881765,0.14992664465546163,"[ 0.0676269   0.1190815   0.06359357  0.25791034  0.24734114 -1.24803312
  1.25515937  1.45670268 -0.20563818 -0.22872521  1.96951784 -0.53896121
  0.57159071  1.69153405  0.47922365 -0.70946284 -0.37916231  0.58782269
 -0.36302736 -1.20766037  1.53621903  2.00326769  1.09172826  1.61509198
  0.5854837  -0.24760452  1.19054514  1.07867569  1.11844906  0.94310194]"
